naslov,text
Gore od ljubavi,"Pre nego za milost zamolim svuci me
po svakoj suzi tuci me
ko dete kazni me
ko zenu spasi me

Tako mi malo treba da te prezirem
jos mnogo manje da ti se ne opirem
sav bol u meni ostavi
odes li, to mi je gore od ljubavi

Ref.
Hiljadu razloga je
dovoljno dobrih da bih mrzela te
u ovim nocima bez duse 
koja place za nama

Hiljadu razloga je
ja trazim jedan da bih volela te
pa makar bila andjeo
sama na stubu srama

Ref.

Tako mi malo treba da te prezirem
jos mnogo manje da ti se ne opirem
sav bol u meni ostavi
odes li, to mi je gore od ljubavi"
Greska,"Nisam kao druga deca 
ja sam pala sa meseca
ceo svet za mene brine
bake, ujne, tetke, strine
svi zele da budem dama
a ja hodam na rukama

Ref.
Mama mi se tuzno smeska
tata kaze to je greska
trebala sam musko biti
da se otac sinom dici

Gledano sa njine tacke
ja sve radim naopacke
hocu disko, necu skolu
pijem samo kokakolu
volim klompe, mrzim stikle
ne silazim sa bicikle

Ref.

Smetaju mi svi po kuci 
postali su nemoguci
vezbam dzudo i karate
i zato me ne dirajte
svi jos misle da sam mala
a ja sam se zacopala

Mama mi se tuzno smeska
tata kaze to je greska
sta im drugo preostaje
kad na meni svet ostaje"
Hajde,"24 sata i jos koji dan
odavno vise ostavljeno
ja ne izgledam
rastali smo se ko ljudi
svako je na svom
onda sam jednog jutra
pocela da pricam sa sobom
sama sa sobom

Ref.
Hajde, gurni me u gomilu
da sakrijem se nocas tu
da ne vidi se da sam pukla
hajde, ispod oka vidim sve
tvoje ruke oko nje
i sad bih se u glavu tukla

24 sata i jos koji dan
kako nisam s tobom
i bas se dobro osecam
sve je doslo na normalu
svako je na svom
onda sam jednog jutra
pocela da pricam sa sobom
sama sa sobom

Ref.

Glasovi u glavi govore mi
stavi, stavi cipele na sto
glasovi u glavi, koji li je pravi
kad nijedan nije moj 

Ja ih ne cujem
cujem samo, cujem samo tvoj

Ref."
Hej vrsnjaci,"Hocu da se druzimo do zore
svaka mladost ima vreme svoje
nek nas pesma opusti, nasmeje
ludi provod neka nas zagreje
(2x)

Ref. 2x
Hej vrsnjaci, hej vrsnjaci
nek se pesma cuje
uz godine nase 
ide da se luduje

Hocu da se volimo sto vise
jedno srce za drugo da dise
nek se igra, neka se ne stane
ne moramo nocas na spavanje
(2x)

Ref. 2x

Hocu da se ovo vece pamti
nasa mladost mora da se shvati
nek nas sreca ko ljubav opije
mogu pesme i nesto starije
(2x)

Ref. 2x"
"Hej, ljubavi, ljubavi","Neznosti nema vise
jedno drugom smo strani
dolaze dani tuge 
bicemo opet sami

Ref. 2x
Hej, ljubavi, ljubavi
sto si tako zla
hej, ljubavi, ljubavi 
zar nema prastanja

Ljubav je nasa prosla
vatra se srece gasi
ne moze nista vise
ljubav nasu da spasi

Ref. 2x

Poci ces ti u zoru
poci ces, mora tako
zivecu i bez tebe
nece mi biti lako

Ref. 2x"
Hvata me,"Tu gde ljubav udari
pukne dusa napola
moja je cela ostala

A ja sam tamo ovamo
samo nikad tamo gde
gde se oci prevare

A ti itekako znas
iz ove koze da me isteras
pa boli sve ko pred nevreme

Ref.
Hvata me, hvata kao mecava
ljubav hvata me
celo mi telo obuzme
a ti ni za ruku da uhvatis me

Hvata me, oko srca toplo je
u ponoc hvata me
kao da igram bez muzike
sama ko uvek, po starom je sve

Ja kad pricam, ne pricam
i kada placem, ne placem
i kada volim, ne volim

Jer ja sam tamo ovamo
samo nikad tamo gde
gde se srce otvori

Ref.

Dodji mi u ponoc
dodji mi u podne
bilo kada, bilo kada
dodji mi kad hoces
dodji mi kad neces
a najbolje dodji sada

Ref."
I bogati placu,"Nikad mi nisi bio dovoljan
htela sam zivot, lak i siguran
da svojom srecom, svemu prkosim
e da bar jednom srce i to okusi

Haljina duga, svilen beli sal
pepeljuga bi da napusti svoj bal
kamen na ruci suze ne slusa
voli te tvoja prostakusa

Ref.
I bogati placu zasto ne
teku im suze biserne
u bolu su svi
rodjeni jednaki

I bogati placu zasto ne
ali ih niko ne cuje
u zivotu je sve
mac sa ostrice dve

Prema nebu sam poletela
do samih zvezda gde je svemu kraj
da padnem ja bih pala ponovo
pravo u tvoj zagrljaj

Ref."
Idealno losa,"Krevet nenamesten je, ma, briga me za to
ja necu spavati u njemu sigurno
u prvi ulazim klub ko u saunu
a tamo sedis ti sav u daunu
ma, idealno lose

Ref.
Idealno, idealno lose si ti
za mene idealno da pridjem ti
ti si idealno, idealno lep, tuzan, sam
zbog takvih ko sto si ti
ovde sam dosla, ja idealno losa

Biram samo laksi nacin
kraci put, neki lak plen
nekoga ko dace mi se nocas lako
neko ko je vec ostavljen
ma, idealno lose

Ref.

U mojoj sobi samo tama, samo krs i lom
tako svuda je u gradu mom
ako ne znas s kim bi, gde bi, zasto
onda za tebe je to
ma, idealno lose

Ref. 2x"
Idi dok si mlad,"Idi dok si mlad
dok imas vremena za more promena
za let i za pad, za sutra ili sad
ma idi dok si mlad

Nocas kada gosti odu
odlazi pustam te
dajem ti blagoslov i slobodu
jer pukli smo zar ne

Ref.
Idi gde hoces, ljubi sve zivo
ali ipak drzi bar neki nivo
ne igraj zmurke ma nismo deca
ja vise nemam
ni jednog keca u rukavu

Tako ti je to
od klinca napravis princa za kajanje
iz voza ispadnes
ostanes cak i bez mesta za stajanje

Poljubimo se ko odrasli
jer jasno nam je sve
pokidaj lance dok nismo srasli
jer pukli smo zar ne

Ref. 2x"
Igracka samoce,"Niko nije savrsen
svako ima koban tren
razboli se od toga
i da placem svaki dan
imala bih zasto ja
imam i zbog koga

Pismo, glava, kako kome
svako radi kako zna
ovo secanje na tebe
tvoja je osveta

Ref. 2x
A ja sam omiljena
igracka samoce
sa mnom svako od tad 
radi sta hoce
al' kad probaju 
iz srca da uzmu te
moje telo, moj kavez je

Nikad nisam bila tu
kada ti je trebalo
kasne suze moje
a kad tebe setim se
zamagli ogledalo
i mrzim lice svoje

Ref. 2x

O, zasto nisam videla
da ti zivot tako lepo stoji
to je tebi bilo prirodno
a mene strah cepa i kroji

Ref. 2x"
Ime i prezime,"Hiljadu i jedan put
za sebe sam se uplasila
ljubili su me, a ja nista nisam osetila
od tih olosa postala sam i ja losa

Volela sam jednom ja 
i prevarena ja sam bila
iz te bolesti i najjaci se ne izvuku
od tada smejem se kad o moje srce slome ruku

A onda si se ti pojavio kao da si magija
i za noc uradio da se opet rodim ja
a od sebe sam bila starija

Ref.
Nemam ja godine
 nemam ime ni prezime
s tobom krv sam promenila
 sebe sam pobedila
nek' mi se smeje svet
 lepo biti je razapet
kada se telo ne protivi
s tobom zivim i kad mi se ne zivi

Neka vreme prolazi
ja verovacu u trenutke kad smo zajedno
kad pogledas me iz sve snage
i vratis licu mom tu besmrtnu lepotu lutke

Ref."
Isuse,"Isuse daj mi lavlje srce
da prezivim dane buduce

Sta je to u svakom zlu
stalno hoce da je tu u nama
da nam snagu, da nam moc
pa nas onda prevari i slama

Jer zivot je pas, uvek pokvari sve
uzme i da ono najlepse

Ref.
Isuse daj mi lavlje srce
da prezivim dane buduce
lako ce hrabriji od mene
al' moja dusa ne znam kako ce

Sta je to u svakom zlu
stalno hoce da je tu u nama
da nam snagu, da nam moc
pa nas onda prevari i slama

Jer zivot je pas, uvek pokvari sve
uzme i da ono najlepse
Ref.

Ajde bre, ma daj ne lazi me
ajde bre, daj ne lazi me"
"Izbrisi, vetre, trag","Ref.
Izbrisi vetre njegov trag
nije mi vise mio ni drag

Molim te vetre ko brata
izbrisi njegovo ime
Jer ja sam pricu o sreci
zavrsila s' njime

Ref.

Njega sam volela strasno
a on je voleo druge
S' njim su noci bile
beskrajno more tuge

Ref.

Molim te vetre jos jednom
i njega sa sobom nosi
Ne moze vise da sniva
snove u mojoj kosi

Ref."
Ja cu prva,"Ako treba da ogulim kolena
da ti priznam
kol'ko sam te volela
ja cu prva

Na kraj sveta da ti nosim kofere
da ih skupljam
ako ti se otvore
ja cu prva, ja cu prva

Ref.
Ako treba i sto ne treba
i sto moze i sto ne moze
samo reci ja cu prva

Gde se puca, gde se gladuje
gde za zivot djavo strahuje
samo reci idem prva
idem prva, idem prva

Svako pismo krvlju da ti napisem
da na tvoje prevare
sva mirisem
ja cu prva

Svaku bozju zapovest da pogazim
da zbog tebe
na sunce ne izlazim
ja cu prva, ja cu prva

Ref."
Ja jos spavam u tvojoj majici,"Sinoc sam iz pepela
malo vatre ukrala
i bas kao nekada
s tvojom slikom zaspala

Ref.
Ja jos spavam po navici
u tvojoj majici, u tvojoj majici
ja jos spavam po navici
u tvojoj majici,  tvojoj majici
ja jos spavam

Sinoc sam otvorila
prozore u grudima
i bas kao nekada
prepustila se cudima

Ref.

Sinoc sam poletela
sve do tvojih odaja
na tvoje rame sletela
to se zove predaja

Ref."
Ja tebe hocu (duet Ljuba Lukic),"Ti mi se svidjas
vise od svega
pa biraj onda
mene ili njega 

Ref. 2x
Ja tebe hocu
sta ce mi on
on nema mesta
u srcu mom

S' tobom cu svuda
za tebe sve
ko bi ti sreco
rekao ne
2x

Ja necu tebe
sa njim da delim
nikom te ne dam
jer ja te zelim 

Ref. 2x"
Jadna ti je moja moc,"Uzela sam te noci tudje
nisam smela
sad tu tajnu drzim dalje
od svog tela

Tebe se odrekla, Bogu se zarekla
i nisam poklekla

Zbog toga se danonocno
ja osecam mocno

Ref.
Jadna ti je moja moc
nemocna sam dok postojis
ranilo me trista njih
a samo se ti brojis

Jadna ti je moja moc
kada mi je zivot jadan
u vatri gorim svaku noc
a krevet mi k'o noz hladan

Posle tebe ljubavi nema
sve sam znala
svakom buducem 
tvoje ime sam dala

Ref.

I onda skupim neke ljude
gore od mene da tese me
do jutra placam provode skupe
za neke lazi jeftine

Ref."
K'o na grani jabuka (duet Zeljko Sasic),"Da sam pio, pio sam
sve sam reke popio
preslo mi u naviku
otkad sam te ja izgubio

Da sam krala, krala sam
sve sam zvezde pokrala
preslo mi u naviku
otkad sam bez tebe ostala

Ref. 2x
K'o na grani jabuka
u mom telu zri
jedan zivot, jedna mladost
cvet bez ljubavi"
K'o nekad u osam,"K'o nekad u osam
i sad zelim da ti cujem glas
da zazvoni zvono
da se nebo otvori za nas

K'o nekad u osam
zelim da po mene dodjes ti
da bas kao nekad
podjemo u svet ljubavi

Ref.
Opet bih te otela
od ljudi i vremena
noci s tobom provela
ne bih ti odolela
eto to bih volela

K'o nekad u osam
zelim snovi da zamene dan
korak da ti cujem
pa da sunce udje u moj stan

K'o nekad u osam
zelim opet da mi pridjes ti
da jos jednom samo
osetim taj dah ljubavi

Ref."
Kad bi bio ranjen,"Ja, pre bih ove svoje ruke
zeljne svega vezala u cvor
pre nego da ih grli, ljubi
neki drugi vrazji muski stvor
pred vratima spavala ko pas
kroz vekove gorela zbog nas

Ref.
Kad bi bio ranjen krvi bih ti dala
oba svoja oka, kad bi bio slep
al' uzalud, bez duse si lep

Sve, bila sam ti ljubavnica
ljubavnica i sestra i drug
sve, dala sam ti svoja krila
da preletis i sever i jug
pred vratima spavala ko pas
kroz vekove gorela zbog nas

Ref.

Ref."
Kazem da te volim,"E sad cu stvarno
da se napijem
kad krila dobijem
sve cu da verujem

Al' nocu kad se
sama pokrijem
pomalo bedno je
tebi svejedno je

Ref. 2x
Kazem da te volim
ti ni da pomenes
ja bih da te ljubim
ti glavu okrenes, cemu to
mnogo boli sto smo zajedno

E sad cu stvarno
da te ne volim
to ti se zaklinjem
al' samo jednom jos

Svoju cu ljubav
da razapinjem
za mene dobar si
dobar k'o savet los

Ref. 4x"
Koza pamti,"Nikada, nikada, nikada, nikada
sa tobom vise nikada 

Ni vazduha izmedju dlanova
ni predaha izmedju uzdaha
u prolazu tela pripijena
bez imena, samo bez uspomena

Ref.
Lepo na slepo, te tvoje usne stranca
ma, lepo do bola kad pokupis neznanca
ljubi me ti, nikada te vise necu videti
al' koza pamti

Lepo na slepo, ni kajanja, ni srama
ni juce, ni sutra, ni dzentlmen, ni dama
ljubi me ti, nikada te vise necu videti
al' koza pamti

Ni razmaka izmedju redova
bez pitanja, vidljivih tragova
u prolazu tela pripijena
bez imena, samo bez uspomena

Ref."
Kuda idu ostavljene devojke,"Jos koliko kasnih vozova 
da sacekam i da propustim 
pa da s' nekim svijem gnezdo ljubavi 
da i meni dodje onaj pravi

Ref.
Kuda idu ostavljene devojke
da li se po nekad, dragi, pitas 
kuda idu, cujes li im poruke
zaplaces li kada ih procitas

Jos koliko kisnih drumova 
iza sebe ja da ostavim 
pa da proslost zauvek zaboravim 
srecnom jatu i ja da se javim

Ref.

Ref."
Kuda zuris,"Dosao si da me pitas
da li ti se svidjam
ima vremena, ima vremena
da se s tobom vidjam
(2x)

Ref. 2x
Kuda zuris, kuda zuris
zivot je pred nama
ljubicu te, mozda danas
mozda ovih dana

I ja zelim da ti kazem
srce nema rana
ima ljubavi, ima ljubavi
necu biti sama
(2x)

Ref. 2x

Pozovi me kada mozes
pricu da nastavim
sreco jedina, sreco jedina 
ja cu da se javim
(2x)

Ref. 2x"
Kukavica,"Zagrli me i podji putem
kuda idu kukavice
pratice te moje oci lutalice
zensko srce nezno poput lastavice
sto od bola ugine

Zagrli me, samo jednom
covek budi, ne lazi me
ako odes nikad vise ne trazi me
samo napred, ne muci se, ne gledaj me
ja odavno slutim sve

Ref.
Kukavica, nisam znala
da si takva kukavica
sa mnom spavas
druga ti je nesanica
bojis se da priznas to

Kukavica, ti si samo
jedna vise kukavica
mislis da sam
ona ista devojcica
koju laze bilo ko

Ref."
Lako je tebi,"Jos jednom da zivim
prebolela ne bih
ti si vec sa drugom
lako je lako tebi
(2x)

Opet da se rodim
drugog htela ne bih
a ti znas da zivis
lako je lako tebi
(2x)

Da umrem od tuge
zalio me ne bi
ti ne znas da patis
lako je lako tebi
(2x)"
Lazov notorni (duet Sasa Matic),"Ko produzi dalje, kad sretne te s drugim
u stranu glavu okrene
a kuci kad dodjes, on stope ti ljubi
i nista ti ne spomene

Niko drugi nego ovde covek ovaj
sto jos skuplja
mrvu hrabrosti za kraj

Ref.
Hej, ludu srecu imas ti
sto me druga ne voli
pa si se opustila
sto pozelis, radis mi

Lazem sebe, lazem svet
da ces se promeniti
lazov notorni

Ko ne spava nocu i ceka do zore
dok jos svasta govore
ko zivi sa tobom izmedju juce i sutra
suze i ljubomore

Niko drugi nego ovde ova zena
sto zbog tebe
ima strah od promena

Ref.
Hej, ludu srecu imas ti
sto me drugi ne voli
pa si se opustio
sto pozelis, radis mi

Lazem sebe, lazem svet
da ces se promeniti
moj lazov notorni

Lazov notorni, lazov notorni..

Ref.
Hej, ludu srecu imas ti
sto me drugi ne voli
pa si se opustila
sto pozelis, radis mi

Ludu srecu imam ja
sto se vise ne nadam
sto s tobom uvek znam
bar na cemu sam"
Lepi grome moj,"Bio si moja nevinost i greh, moja trema
na usnama od suza krvav trag
kad god te nema

Veciti strah i moje ludilo
da l' odlazis il' ipak ostajes
sad je sve, sve izmedju nas
samo hoces neces

Ref.
A secas li se, lepi grome moj
nekada je tlo pod nama pucalo
srce je u srcu kucalo
ma, reci gde je zapelo

Secas li se, lepi grome moj
pila sam ti kisu sa ramena
jos sam tvoja munja, oganj tvoj
udari opet, grome moj

Bio si moj oslonac i pad, ono ime
koje sam zvala kada ceo svet
zaboravi me 

Veciti strah i moje ludilo
da l' odlazis il' ipak ostajes
sad je sve, sve izmedju nas
samo hoces neces

Ref.

Evo, zapeni more, zapeni sve u meni
a ti i ja ko dva maslacka
sto se vrte u istoj peni
sto ih vuce na dno

Ref.

Secas li se lepi grome moj 
pila sam ti kisu sa ramena
jos sam tvoja munja, oganj tvoj 
udari opet, grome moj"
Lepotan,"Otkad te sretoh ja nemam mira 
lepota tvoja mene opija
a ti ne zelis da vidis to
jer imas ljubavi sto 
(2x)

Ref. 2x
Zbog takvog zivota tvog 
moji se snovi ruse 
i mrzim lepotu tvoju 
jer nemas srca, jer nemas duse

Tebi je lako kada te vole 
sada te mnoge za ljubav mole 
a znaj ti dobro doci ce dan 
kada ces ostati sam 
(2x)

Ref. 2x

Ti nisi nikad zaljubljen bio 
ti nisi nikad suzu prolio 
ti ne znas sta je ljubavni bol
prazan je zivot moj
(2x)

Ref. 2x"
Licis na moga oca,"Licis na moga oca
isto je mojoj majci 
uzasne stvari radio
rukama golim 
njeno nevino mlado srce
iz grudi na zivo vadio

Eh, da je bilo pravde, andjela, Boga
pa da je malo jos pozivela
pa da mi kaze
sto sam sudbinu njenu dozivela

Licis na moga oca
nocima banes pijan
nesnosan, nervozan i grub
zbog neke druge zene
kafane, drustva, novca
mene uzimas na zub 

Ref.
Zar i Bog sto nebom hoda
vladar carstva nebeskog
zar i on je muskog roda 
okrutnog, okrutnog

Licis na moga oca
na sceni mog detinjstva
najlepseg crnog labuda
zbog kog se svetla gase
zavesa nade pada
iz proslosti nemam nikuda

Eh, da je bilo pravde, andjela, Boga
bar da je malo jos pozivela
da shvatim njene reci
sto nisam musko rodila

Ref."
Ljubav zivi,"Jos uvek zivim tu
gde si cini bacio
ko da nije nestalo
kao dah

Mora biti toga jos
sto si ti odbacio
i zato trazim dok sam ziva
da ne pojede me mrak

Ref.
Koliko ima ovakvih k'o ja
mi sagli smo glave u strahu
da bice jos gore
i bice jer sagli smo glave
a ljubav zivi, a ljubav zivi
kucnuce cas kad ce doci po nas
i kad te pita ti reci
i digni svoj glas
da ljubav zivi, da ljubav zivi

Jos uvek zivim tu
gde se radjam ponovo
k'o da nije ostao
samo strah

Mora biti toga jos
znam da nije gotovo
i zato trazim dok sam ziva
da ne pojede me mrak

Ref.

Zivot ne pita 
nikad sta zelis
nekome sve uzme 
a nekom sve deli

Mi smo u pravu
na nasu stranu
vreme ce stati
stati za nas

Ref."
Luda za sebe,"Kad placem ti me ne gledas
sto tesko disem ti ne pitas
ko da te ne zanima
sto sam bezveze danima
po tebi to je normalno

Ref.
Nemas ti nista s tim
luda sam samo za sebe
iako odem za njim
nije to lose po tebe

Na slikama mojim iskali bes
sve polomi
i tugu za mnom kod neke ti
bolje udomi

Luda za sebe, luda za sebe

Ti ne vidis kad propadam
i kad se s ovo pola srca
nekom dopadam
ko da te ne zanima
sto u zid gledam danima
po tebi to je normalno

Ref.

A ljubav je k'o oruzje
u ruci malog deteta
sto sa njim igra tu
a rane uvek prave su

Ref."
Ludo srce,"Srce moje ludo je
koga ne sme volelo je
pa sad pati i uzdise
njega nema, nema vise

Ref. 2x
Ludo srce sta ti je
budi malo mirnije

Odsad cemo dobro znati
kome cemo ljubav dati
da nam vise bol i tuga
ne postanu verna druga
(2x)

Srce moje boluje
a njegovo neverno je
dusa ga je proklela
a to nije, nije htela

Ref. 2x

U mladosti tako je
srce stalno boluje
pa kad nadje ljubav pravu
sve predaje zaboravu

Ref. 2x"
"Manta, manta","Manta, manta, manta
sve mi se manta kad vidim te
manta, manta, manta
da li i tebi manta se

Neke ljubavi prolaze
neke nikad da se dese
ova moja fenomen je
ko jos moze da podnese
da voli samo tog s kim nije nasamo

Ref.
Obavezno dodji sam
dodji mi na noc, dodji mi na dan
obavezno dodji sam
dodji mi na stan, dodji mi na dlan

Sedam bi od osam bi zena reklo ti
reklo zbogom, kraj
sedam bi od osam bi reklo bi mi bi
al' ja sam osma, znaj

Neke ljubavi su vecne
neke jedna noc odnese
ova moja fenomen je
ko jos moze da podnese
da voli samo tog s kim nije nasamo

Ref.

Manta, manta, manta
sve mi se manta kad vidim te
manta, manta, manta
da li i tebi manta se
(2x)

Ref."
Maskarada,"Ziv se covek na sve navikne
pa valjda cu ja 
ako Bog da, ako Bog da

Da se pravim da me ne vredja
kad odgurnes me
da spasem bar to sto spasiti se da

Da te ne pitam s kim
svaku provodis noc
i sto ne spavamo kao pre

Da ne pobedi gnev
pa da polupam sve
kad mi ujutru dodjes od nje

Ref.
Dobrodosli, drugovi
na nasu malu maskaradu
pozivnice imate
najbolje je to u gradu

Sampanjac otvorite
otkacimo se do daske
i da se goli skinemo
ostace nam nase maske

Ziv se covek na sve navikne
pa valjda cu ja 
ako Bog da, ako Bog da

Da se pravim da te ne cujem
kad opsujes me
da spasem bar to sto spasiti se da

Da ne proklinjem dan
kad sam rekla ti Da
decu sto sam ti rodila

I da foliram sve
da se ne nerviram
sto sam s drugom te videla

Ref."
"Mesec, nebo, zvezdice","Nisi trepnuo kad si priznao
to sto nisam htela da znam
sta si trazio to si dobio
iz te ljubavi izlazis sam

Ref. 2x
Mesec, nebo, zvezdice
brace su i sestrice
a mi kao stranci
ne bi nas ni lanci
hej vezali sad"
Metar odavde (duet Tropico band),"Hej ja nemam kud, nemam kud
i moram da prodjem tu
tu, tu gde se vi grlite
pitam vas kako se mislim se umrite

Hej znala si ko sam ja
hej izvini ali ni zasta
pre nego sto pljunes me
hajde priznaj mi priznaj mi da ovo lozi te

Ref.
Metar odavde, metar odavde
na moje oci druga mi te krade
a meni ravno kao da si stranac
jer za srecu mi ne treba muskarac

Metar odavde, metar odavde
kidam ti srce, kidam na komade
mozda sam djubre, najgori mesanac
al' za nesrecu ja sam tvoj muskarac

Hej dobro jos drzim se
sve ljulja se, rusi se
ti neces to videti
da me oboris nece ti, nece ti uspeti

Hej vodu da otvoris
i tu sam zar ne vidis
taj, taj tvoj bol sam ja
glumis k'o da si bezdusna
 a nisi ravnodusna

Ref.

Hajde priznaj mi
 priznaj mi da ovo lozi te

Ref."
Mokra trava ,"Mokra trava, mokra trava,
od bisernje rose,
ne dolazi dragi vise,
da mi mrsi kose. /x2/ 

Sto ga nema, sto ga nema
ubio ga led,
kad zna da je meni bio
i otrov i med. /x2/

Tanka bluza, tanka bluza,
sva mokra od suza,
ne dolazi dragi vise,
da mi usne pruza. /x2/ 

Sto ga nema, sto ga nema
ubio ga led,
kad zna da je meni bio
i otrov i med. /x2/ 

Noc je pala, noc je pala,
harmonika svira,
ne dolazi dragi vise,
da mi nedra dira. /x2/ 

Sto ga nema, sto ga nema
ubio ga led,
kad zna da je meni bio
i otrov i med. /x2/

"
Mrtvo more,"Sto puta sam ja 
zbog tebe umrla 
i sto puta sam se 
zbog tebe rodila

Zbog lepote u tom bolu 
ja sam propustila sve 
sad vise nemam gde

Ref.
Moj je zivot mrtvo more 
bez ijednog talasa 
samo uspomene plove 
tragom zutih oglasa 

Ti si ostao i bices 
moja zvezda vodilja 
al' se srce sa snom bori 
kao stara dadilja

Sto puta sam ja 
do dna potonula 
i sto puta zbog nas 
na hrid izronila 

Zbog lepote u tom bolu 
ja sam propustila sve 
sad vise nemam gde

Ref."
